trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.5, 'e': 0.28765311114511544}",20,0,9.191163580432699,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.28707837984570167}",25,0,5.090929545938094,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,3,-16.554695502569015,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.285932359894248}",25,11,5.611764617709417,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.28536106665812666}",20,1,-20.8684342474333,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.2847909148666525}",25,7,8.488728710449463,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.28422190223921745}",25,0,-18.055633573579513,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,0,13.185080512852682,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2830872853768075}",20,9,12.336588997057946,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2825216766033636}",20,12,-5.667033945011543,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2819571979170028}",30,0,-61.485275606356524,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.2813938470598095}",20,0,-46.52287441630874,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,0,8.047286291584118,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.28027051982381157}",25,2,-5.871867305002738,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.27971053895169634}",20,10,-20.93100064040075,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.27915167692210985}",25,13,13.16248498932523,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.27859393149960326}",30,0,-69.34910702800741,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,0,-27.584781712380995,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.27748178155635755}",25,15,-6.514371196046518,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.27692737258701716}",25,0,-41.04611611225797,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.27637407132753633}",20,8,-3.4381363402347005,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27582187556470933}",30,16,-4.908468085545636,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.2752707830897524}",20,0,8.604370105951402,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.2747207916982948}",30,0,-23.213264494272835,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.27417189919037027}",20,0,-80.20405397545711,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.27362410337040804}",20,0,13.305882734830703,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.2730774020472242}",20,0,-22.20296437464425,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.27253179303401265}",20,2,13.615903462599313,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.27198727414833657}",30,13,-9.371845264723042,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.27144384321211973}",30,21,6.669122473327633,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.27090149805163766}",20,16,6.747171424194171,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.27036023649750907}",30,13,2.4182280837819565,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.26982005638468687}",20,7,-5.7422363527189875,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.26928095555245}",20,3,22.948199739560593,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2687429318443944}",20,4,-3.265519726984516,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2682059831084244}",20,7,20.616586172349464,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.26767010719674456}",25,0,-52.10670373139941,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
